datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId
2025-06-22T12:05:18.530Z,1750593918530,inference_aggregated,offscreen,7.77,78,10037.5,122.26,80.2,802.6,63.78,35.8,727.1,2.03,1.1,4.2,0,0,0,classification,730,730,866040862
2025-06-22T12:05:28.624Z,1750593928624,inference_aggregated,offscreen,8.91,90,10097.1,107.81,80.3,184.9,46.12,36,100.6,1.95,1.3,4.4,0,0,0.1,classification,730,730,866040862
2025-06-22T12:05:38.659Z,1750593938659,inference_aggregated,offscreen,8.97,90,10035,107.11,83.6,186.6,44.4,32.9,60.7,1.97,1.3,3.9,0,0,0.1,classification,730,730,866040862
2025-06-22T12:05:48.696Z,1750593948696,inference_aggregated,offscreen,9.17,92,10037.3,104.94,79.6,188.5,45.15,35.2,90.4,2,1.3,4.9,0,0,0.1,classification,730,730,866040862
2025-06-22T12:05:58.770Z,1750593958770,inference_aggregated,offscreen,9.33,94,10074.1,102.91,80.5,171,43.78,33.5,57.4,2.01,1.3,4.5,0,0,0.1,classification,730,730,866040862
2025-06-22T12:06:08.843Z,1750593968843,inference_aggregated,offscreen,9.23,93,10071.6,103.81,80,182.9,44.12,34.1,65.8,1.93,1.2,5.2,0,0,0.1,classification,730,730,866040862
2025-06-22T12:06:18.883Z,1750593978883,inference_aggregated,offscreen,9.66,97,10041.3,99.29,78,171.2,45.74,31.8,74.9,1.94,1.2,3.8,0,0,0.1,classification,730,730,866040862
2025-06-22T12:06:28.917Z,1750593988917,inference_aggregated,offscreen,9.37,94,10033.8,102.5,78.9,185.1,44.8,33.8,86.1,1.94,1.1,5.6,0,0,0.1,classification,730,730,866040862
2025-06-22T12:06:39.005Z,1750593999005,inference_aggregated,offscreen,9.42,95,10086.9,101.87,79.1,183.9,43.05,31.3,55.6,1.85,1.2,3.9,0,0,0.1,classification,730,730,866040862
2025-06-22T12:06:49.044Z,1750594009044,inference_aggregated,offscreen,8.97,90,10038.5,107.18,79.7,181.6,46.57,33.8,74.6,2,1.3,3.7,0,0,0.1,classification,730,730,866040862
2025-06-22T12:06:59.075Z,1750594019075,inference_aggregated,offscreen,9.37,94,10032.6,102.39,78,184.3,44.01,32.8,71.2,1.96,1.3,5.4,0,0,0.1,classification,730,730,866040862
2025-06-22T12:07:09.115Z,1750594029115,inference_aggregated,offscreen,9.07,91,10034.6,105.99,77.9,193.6,48.02,34,98.7,2.02,1.1,3.6,0,0,0.1,classification,730,730,866040862
2025-06-22T12:07:10.373Z,1750594030373,inference_aggregated,offscreen,8.71,11,1263.1,117.63,96.1,136.8,52.17,37.2,73.4,2.14,1.2,4.1,0,0,0,classification,730,730,866040862